SuccesName,SuccesDescription,SucccesValuePoint
Les naturistes,"Vaincre un boss de donjon de niveau 70 ou plus à 4 ou plus, sans équipements ni compagnons",15
Justiciers gantés,Nouveau : Vaincre un avis de recherche de niveau 170 ou plus sans qu'un seul membre de l'équipe n'inflige le moindre dégât direct,15
Tema la taille du rat,Négocier un craft gratuit à un artisan de niveau 200 hors de la guilde,5
Talon d'Achille,Abuser de la faiblesse principale d'un membre du Conseil,10
Je sais pas qui c'est mais je prends les points,Se faire ping par Dahd sur Discord,20
,,
Point faible : trop fort,Obtenir tous les succès où il faut être doué au jeu,20
Apprenti soloteur,"Vaincre un boss de donjon de niveau 200 en solo (hors Nileza, Merkator, Dantinéa)",5
"La meilleure défense, c'est l'attaque !","Vaincre un boss de donjon de niveau 180 ou plus, ou une salle de songes Paradoxe 1/+, palier 4/+ en un seul tour",10
La prochaine sera meilleure,Obtenir une légende (drop ou coffre),15
Sacré duo,"Vaincre Servitude, Belladone, l'Éternel Conflit ou Bethel Akarna en duo avec un membre de la guilde",15
TGIF,Drop un Feu Sacré de Gargandyas,15
,,
Une simple formalité,Obtenir tous les succès de missions avec un twist,20
Les petits aussi,Effectuer une mission Donjon avec au moins un membre de niveau 199 ou moins (hors Clônes/Jumeaux Maléfiques),10
Expédition Club Med,Comptabiliser une moyenne de PA dépensés par tour inférieure à 4 dans une Expédition sans éveiller les soupçons,20
Songe d'une nuit d'été,Effectuer une mission Songes Infinis rapportant 120 guildatons,20
Unique en son genre,Effectuer une mission de guilde à 8 en étant le seul représentant de sa classe,5
"L'anomalie, c'est nous","Effectuer une mission de type ""Stabilisation de donjon"" sous élixir uchronique majeur à 8",20
,,
Et tout le tralala,Obtenir tous les succès que le Conseil n'a pas su organiser dans une catégorie,20
La chatte qu'il a !!!,Drop un équipement de niveau 160 ou plus au cours d'une sortie avec des membres de la guilde,10
"Drop ""rare""",Participer à un combat où un équipement de niveau 190 ou plus est droppé par un membre de la guilde,20
Plus que des camarades de guilde,Jouer à des party games avec la guilde,10
J'apporte les œufs et toi le sucre,"Forgemager un item pour un membre de la guilde, ou se faire forgemager un item par un membre de la guilde",5
Il joue quelle classe celui là déjà ?,Faire remarquer qu'un membre de la guilde a reroll avant que le Conseil ne l'ait vu,5
Flashmob,Se réunir à 15 membres de la guilde ou plus sur la même carte,10
Une bonne petite communauté,Participer à une discussion en /g ou dans #blabla,1
Grande famille,Être connecté alors qu'au moins 50 membres sont connectés,1
